year,horse_number,horse_name,age,weight,trainer,jockey,barrier,track_condition,distance,wins,places,recent_race_times,odds,finishing_position
2010,23,ONCE WERE WILD,4,51.5,Gai Waterhouse,Jim Cassidy,10,Good,3200,12,5,"[122.44955760380664, 119.60048077099101, 120.06673892768745, 118.36569191079874, 119.92954967881036]",,11
2010,9,TOKAI TRICK,4,54.5,Kenji Nonaka,Shinji Fujita,3,Soft,3200,9,11,"[121.7500944169058, 118.62355314137626, 121.01543683498964, 122.10594085900784, 120.04560796428585]",,12
2010,7,SHOOT OUT,6,55.0,John Wallace,Corey Brown,16,Good,3200,7,18,"[122.19208079685313, 122.1244262882152, 119.06498732290163, 121.97466771646835, 121.95102781907258]",,13
2010,15,MONACO CONSUL,6,54.0,Michael Moroney,Craig Williams,13,Soft,3200,2,7,"[118.6400739687179, 122.6197205648363, 119.65196478127189, 121.28836239287284, 118.92846156003296]",,14
2010,14,MASTER O’REILLY,5,54.0,Danny O’Brien,Vlad Duric,17,Good,3200,6,15,"[119.77896846412483, 120.90711690926094, 121.43452840676143, 119.37605931726331, 121.06521248534864]",,15
2010,2,CAMPANOLOGIST,4,56.0,Saeed Bin Suroor,Kerrin McEvoy,18,Good,3200,11,3,"[119.84401254907058, 120.66276208139881, 120.07242265289028, 122.89652688117286, 119.26268413322974]",,16
2010,16,PROFOUND BEAUTY,4,54.0,Dermot K Weld,Patrick Smullen,21,Good,3200,4,4,"[121.18401121807209, 118.62139077404424, 121.85192782089223, 122.71398260545722, 120.27243378460969]",,17
2010,1,SHOCKING,8,57.0,Mark Kavanagh,Michael Rodd,23,Soft,3200,13,19,"[122.45898086895377, 118.02848544846725, 119.2491297128806, 120.22985693425444, 120.2814697863727]",,18
2010,21,RED RULER,8,53.5,John Sargent,Mark Du Plessis,7,Soft,3200,3,7,"[121.69350059447287, 118.46948358184802, 119.73519889938119, 118.63364846826265, 122.56948878629552]",,19
2010,10,BUCCELLATI,5,54.0,Tony Noonan,Steven King,20,Soft,3200,12,11,"[118.22428764044179, 118.32617622173036, 118.3401182251922, 119.8153914569666, 122.84080422147956]",,20
2010,22,LINTON,5,52.0,Robert Hickmott,Brett Prebble,22,Soft,3200,5,12,"[119.03096719647219, 121.46368794309632, 118.61186688004885, 119.76368351334985, 119.58778562601263]",,21
2010,17,ZAVITE,4,54.0,Anthony Cummings,Michael Walker,6,Good,3200,12,19,"[122.22569998956494, 118.16915591346564, 120.59938138506588, 120.79880986014648, 118.6250527991401]",,22
2019,23,VOW AND DECLARE,6,52.0,Danny O’Brien,Craig Williams,21,Good,3200,8,19,"[122.90991378480955, 119.60012346208627, 120.36727002727174, 122.68415288488326, 119.63343354838584]",,1
2019,12,PRINCE OF ARRAN (GB),5,54.0,Charlie Fellowes,Michael Walker,8,Good,3200,4,4,"[120.3550492212292, 118.05564688220599, 118.23974271691516, 121.7223234903592, 119.09553615224351]",,2
2019,20,IL PARADISO (USA),4,52.5,Aidan O’Brien,Wayne Lordan,17,Good,3200,4,7,"[122.58434510415879, 121.02390448563284, 121.99355733661605, 121.96948334457649, 122.16428998418564]",,3
2019,3,MASTER OF REALITY (IRE),7,55.5,Joseph O’Brien,Frankie Dettori,1,Good,3200,14,19,"[120.1667764279958, 121.51314876399196, 118.81656255729449, 119.97704813705148, 120.97096595808796]",,4
2019,18,SURPRISE BABY (NZ),8,53.5,Paul Preusker,Jordan Childs,20,Firm,3200,6,3,"[122.81318364186193, 118.34269256387181, 118.77831844371723, 122.99624664007521, 120.4010742805587]",,5
2019,2,MER DE GLACE (JPN),7,56.0,Hisashi Shimizu,Damian Lane,2,Good,3200,10,16,"[118.53809093717958, 120.80083142575792, 119.3665745172193, 120.46695879514363, 121.79900090619384]",,6
2019,11,FINCHE (GB),5,54.0,Chris Waller,Kerrin McEvoy,4,Good,3200,11,12,"[120.75521976384891, 119.15416145670916, 119.99248403087567, 121.02212843823982, 120.4848924391693]",,7
2019,1,CROSS COUNTER (GB),6,57.5,Charlie Appleby,William Buick,5,Heavy,3200,8,16,"[118.43005537299366, 122.99364279907573, 121.96915060274478, 120.83241633226044, 121.0161224849543]",,8
2019,21,STEEL PRINCE (IRE),8,52.5,Anthony Freedman,Brett Prebble,16,Good,3200,3,16,"[121.26602806930966, 122.70309778099225, 122.31724872878391, 118.49331848436586, 122.23278127115562]",,9
2019,15,MAGIC WAND (IRE),6,53.5,Aidan O’Brien,Ryan Moore,24,Soft,3200,11,16,"[119.29150556865032, 121.57953048311215, 120.08568088617689, 122.10198126864574, 122.86151718292115]",,10
2019,10,TWILIGHT PAYMENT (IRE),5,55.0,Joseph O’Brien,Hugh Bowman,19,Heavy,3200,7,19,"[120.0846158349302, 121.48354797877226, 120.78099631312098, 118.34496320145611, 120.34707793043226]",,11
2019,17,SOUND (GER),7,53.5,Michael Moroney,James Winks,10,Good,3200,13,16,"[118.68520913010568, 122.74135733303714, 120.46752988269424, 121.85044528225161, 120.66243120841422]",,12
2019,19,CONSTANTINOPLE (IRE),6,52.5,David & B Hayes & T Dabernig,Joao Moreira,7,Good,3200,3,17,"[120.8245619182262, 122.74468374216373, 122.56509677454345, 121.26404196585015, 119.42717603825061]",,13
2019,4,MIRAGE DANCER (GB),8,55.5,Trent Busuttin & Natalie Young,Ben Melham,13,Good,3200,8,15,"[119.71131839571572, 122.80905598683664, 121.31390049613519, 119.11808811891284, 119.97744040488678]",,14
2019,6,HUNTING HORN (IRE),6,55.0,Aidan O’Brien,Seamie Heffernan,11,Good,3200,2,10,"[119.4966685810679, 119.2370380737762, 120.84830250176701, 121.76127083722085, 118.45151275910688]",,15
2019,13,RAYMOND TUSK (IRE),7,54.0,Richard Hannon,Jamie Spencer,3,Good,3200,11,5,"[121.28100205967316, 122.96837614402783, 121.22898743190477, 118.88085221330628, 121.7009573263827]",,16
2019,22,THE CHOSEN ONE (NZ),7,52.0,Murray Baker & Andrew Forsman,Tim Clark,18,Soft,3200,12,15,"[118.77742507697076, 120.98681240300212, 122.10527109058394, 118.81912219225035, 122.3821519211189]",,17
2019,7,LATROBE (IRE),4,55.0,Joseph O’Brien,James McDonald,22,Soft,3200,6,16,"[120.73724118225485, 120.18853573358824, 122.93923254617651, 121.76794536009014, 122.45796501855278]",,18
2019,5,SOUTHERN FRANCE (IRE),8,55.5,Ciaron Maher & David Eustace,Mark Zahra,14,Good,3200,3,4,"[119.78967962436772, 122.11845397303402, 121.55149204302414, 122.88156557379749, 120.83290283256301]",,19
2019,24,YOUNGSTAR,6,52.0,Chris Waller,Tommy Berry,9,Soft,3200,8,16,"[121.91335901079547, 118.63501523055663, 120.75445770355024, 122.09753736481765, 118.82888992916796]",,20
2019,16,NEUFBOSC (FR),7,53.5,David & B Hayes & T Dabernig,Luke Nolen,23,Firm,3200,5,19,"[120.6221021543046, 119.10961646396174, 121.73264121754373, 119.97978991147193, 122.41484191385045]",,21
2019,14,DOWNDRAFT (IRE),8,53.5,Joseph O’Brien,John Allen,15,Heavy,3200,8,13,"[122.11846609437893, 119.16047878792111, 119.6918582884904, 122.2183545446616, 120.00729146911594]",,22
2019,8,MUSTAJEER (GB),5,55.0,Kris Lees,Damien Oliver,6,Good,3200,5,19,"[120.3610345114395, 121.09676075409553, 119.22702166644115, 120.62991428472431, 121.66604532213994]",,23
2019,9,ROSTROPOVICH (IRE),5,55.0,David & B Hayes & T Dabernig,Dwayne Dunn,12,Good,3200,6,3,"[121.42884709035303, 121.87065683018915, 120.09486010815073, 118.43681221044847, 121.82225620366762]",,24
2020,6,TWILIGHT PAYMENT (IRE),8,55.5,Joseph O’Brien,Jye McNeil,12,Good,3200,6,19,"[121.90843587624413, 122.72224788228314, 118.24158674235791, 121.57278659699097, 121.3560977814713]",26.0,1
2020,21,TIGER MOTH (IRE),5,52.5,Aidan O’Brien,Kerrin McEvoy,22,Soft,3200,5,15,"[118.81737559754515, 121.39771544099085, 119.17345626727898, 120.78529422511441, 120.12007218037303]",6.5,2
2020,12,PRINCE OF ARRAN (GB),6,54.5,Charlie Fellowes,Jamie Kah,1,Good,3200,12,6,"[118.19276246946909, 121.57212140004543, 119.07459840742207, 118.77052272412817, 121.2769791511826]",9.5,3
2020,17,THE CHOSEN ONE (NZ),6,53.5,Murray Baker & Andrew Forsman,Daniel Stackhouse,5,Good,3200,6,9,"[121.17903925803923, 119.13595834764757, 119.39811924666677, 122.55380887951327, 121.1026491913936]",41.0,4
2020,24,PERSAN,4,51.0,Ciaron Maher & David Eustace,Michael Dee,19,Good,3200,3,4,"[122.27823412524678, 122.24464850546218, 119.51138866707564, 118.87334198198293, 118.36248298013771]",41.0,5
2020,5,SIR DRAGONET (IRE),5,55.5,Ciaron Maher & David Eustace,Glen Boss,14,Good,3200,7,18,"[122.62926684269837, 118.3552921179984, 118.1430801581978, 122.21472971931959, 121.48173131186054]",12.0,6
2020,7,VERRY ELLEEGANT (NZ),8,55.5,Chris Waller,Mark Zahra,15,Soft,3200,4,11,"[119.1631310679751, 119.98462439466553, 120.26242540508193, 118.67539545249359, 122.6797776997558]",10.0,7
2020,15,RUSSIAN CAMELOT (IRE),6,53.5,Danny O’Brien,Damien Oliver,16,Good,3200,6,14,"[120.00825350605795, 120.67126307721504, 119.74695409823583, 119.13569045080861, 119.61686795956633]",13.0,8
2020,11,FINCHE (GB),4,54.5,Chris Waller,James McDonald,6,Good,3200,11,17,"[118.12276839070182, 122.02604542237255, 121.43726024428432, 118.42701537155467, 122.38863039064722]",21.0,9
2020,18,ASHRUN (FR),6,53.0,Andreas Wohler,Declan Bates,23,Good,3200,14,11,"[120.90578082672815, 121.47826127665026, 120.68956741476644, 119.35020983507665, 121.04187617979916]",26.0,10
2020,22,OCEANEX (NZ),7,51.5,Mick Price & Michael Kent (Jnr),Dean Yendall,17,Good,3200,13,4,"[119.20047077805219, 119.32903006929412, 120.89130834143411, 122.34140780420282, 120.59869022510726]",81.0,11
2020,19,WARNING,6,53.0,Anthony & Sam Freedman,Luke Currie,8,Good,3200,9,14,"[118.88520804398698, 120.99590216378547, 119.88654777918076, 119.0044284517939, 122.75651010322746]",41.0,12
2020,13,SURPRISE BABY (NZ),8,54.5,Paul Preusker,Craig Williams,7,Good,3200,6,5,"[120.38646981097584, 121.55348009555625, 119.28579020384139, 119.5792616154712, 120.06737162542453]",6.0,13
2020,23,MIAMI BOUND (NZ),8,51.0,Danny O’Brien,Daniel Moor,13,Good,3200,3,18,"[122.82310243271965, 121.17452554137867, 121.17449412440169, 122.31083258514904, 121.17234761945507]",41.0,14
2020,4,MASTER OF REALITY (IRE),4,56.0,Joseph O’Brien,Ben Melham,11,Good,3200,14,14,"[119.12073023837978, 118.57616482880655, 120.90976489685853, 118.21702963223102, 122.5231448012353]",19.0,15
2020,16,STEEL PRINCE (IRE),7,53.5,Anthony & Sam Freedman,William Pike,20,Good,3200,4,13,"[121.32724711137023, 122.98043887851591, 118.36783052190147, 120.75111141629436, 122.43675327909683]",31.0,16
2020,20,ETAH JAMES (NZ),8,52.5,Ciaron Maher & David Eustace,Billy Egan,21,Good,3200,9,18,"[120.69931982713531, 120.75259825353722, 118.08516170836084, 122.34621273542135, 121.64097349193588]",101.0,17
2020,3,VOW AND DECLARE,7,57.0,Danny O’Brien,Jamie Mott,4,Soft,3200,13,16,"[122.05343113622132, 122.65465295059437, 118.38737081244709, 121.76275994791771, 118.76745771062984]",61.0,18
2020,8,MUSTAJEER (GB),6,55.0,Kris Lees,Michael Rodd,2,Good,3200,7,18,"[121.82896177188427, 121.02192161220457, 121.17879570066734, 119.88281871786927, 119.67013792055963]",101.0,19
2020,9,STRATUM ALBION (GB),4,55.0,Willie Mullins,Jordan Childs,9,Good,3200,11,12,"[118.96820205949938, 121.38882917183815, 119.6093876824888, 119.67581383691407, 120.11360159036758]",31.0,20
2020,10,DASHING WILLOUGHBY (GB),8,54.5,Andrew Balding,Michael Walker,18,Good,3200,2,11,"[120.10843897960598, 122.43876113796999, 120.40890534860307, 118.97295190552596, 118.78171963025893]",101.0,21
2020,2,AVILIUS (GB),8,57.0,James Cummings,John Allen,10,Heavy,3200,10,11,"[120.38249689297699, 119.82561615504936, 121.07528853087949, 118.55984271159791, 121.45968229100755]",61.0,22
2021,4,VERRY ELLEEGANT (NZ),6,57.0,Chris Waller,James McDonald,18,Good,3200,12,11,"[118.57074848320399, 121.04158222483399, 118.13325661540532, 122.8721299791573, 122.99326244012111]",18.0,1
2021,2,INCENTIVISE,4,57.0,Peter G Moody,Brett Prebble,15,Good,3200,3,18,"[119.74378377319638, 122.6679637161794, 120.3574557486723, 121.90656785832917, 119.88114452717312]",2.9,2
2021,3,SPANISH MISSION (USA),6,57.0,Andrew Balding,Craig Williams,14,Soft,3200,7,19,"[121.93233355991686, 120.0977880879086, 119.15848235050036, 120.87356316274678, 121.27507197227389]",10.0,3
2021,22,FLOATING ARTIST (GB),6,50.0,Ciaron Maher & David Eustace,Teodore Nugent (a),10,Good,3200,7,13,"[118.96592902530303, 119.02168947630058, 118.38246017341304, 121.79259073342435, 118.12826212650369]",11.0,4
2021,6,THE CHOSEN ONE (NZ),8,54.0,Murray Baker & Andrew Forsman,Damian Lane,5,Good,3200,14,12,"[119.84188303956792, 118.50992398200803, 121.84759956591338, 118.1628462606551, 120.08511093941563]",31.0,5
2021,16,GRAND PROMENADE (GB),5,52.0,Ciaron Maher & David Eustace,Kerrin McEvoy,20,Soft,3200,12,11,"[119.84838184506016, 120.78037695643327, 119.49348881359477, 120.55116438270814, 121.17327478342749]",15.0,6
2021,7,DELPHI (IRE),5,53.5,Anthony & Sam Freedman,Damien Oliver,3,Good,3200,8,18,"[121.4829576162154, 119.33848965354908, 121.23840226132857, 122.14865471775005, 121.877720065287]",19.0,7
2021,9,SELINO (GB),8,53.5,Chris Waller,Ron Stewart,23,Firm,3200,2,16,"[120.02923737765674, 120.98641261579192, 121.06155950003553, 120.27520823413572, 122.5612421286252]",81.0,8
2021,21,TRALEE ROSE (NZ),6,51.0,Symon Wilde,Dean Holland,12,Heavy,3200,11,14,"[119.80683413165305, 121.58653855290588, 122.89947875408878, 121.09471683272484, 119.02458514750676]",21.0,9
2021,19,SHE’S IDEEL,6,52.0,Bjorn Baker,Craig Newitt,19,Heavy,3200,8,13,"[118.35862224991709, 118.70428557259092, 122.71160312811365, 119.64067997676393, 121.97791196367851]",101.0,10
2021,1,TWILIGHT PAYMENT (IRE),4,58.0,Joseph O’Brien,Jye McNeil,2,Good,3200,7,18,"[120.14262792297913, 121.72923792679997, 122.34048807676452, 122.35019562203767, 120.84817438940547]",13.0,11
2021,17,MIAMI BOUND (NZ),4,52.0,Danny O’Brien,Patrick Moloney,16,Soft,3200,11,11,"[119.85534501825632, 118.97912481546102, 120.63851727785737, 121.62697125580337, 118.70596368406996]",151.0,12
2021,23,GREAT HOUSE (IRE),6,50.0,Chris Waller,Michael Dee,7,Soft,3200,10,5,"[121.39783912394932, 121.46105743499706, 119.59224729520345, 119.59306386348385, 118.08818237136786]",26.0,13
2021,24,SIR LUCAN (IRE),4,50.0,Gai Waterhouse & Adrian Bott,Glen Boss,17,Soft,3200,4,12,"[118.32647542092013, 120.37590758780131, 122.32651896175803, 122.02062681342436, 118.77375106960697]",26.0,14
2021,5,EXPLOSIVE JACK (NZ),6,54.0,Ciaron Maher & David Eustace,John Allen,4,Good,3200,12,12,"[122.3696632164418, 120.68059999435897, 119.3211809259239, 120.20352842008245, 122.2504480250419]",51.0,15
2021,14,MASTER OF WINE (GER),7,52.5,"Michael, Wayne & John Hawkes",Fred Kersley,6,Good,3200,6,3,"[119.37905459996595, 118.75720302393955, 122.06424971992925, 122.48950495672875, 120.46905922873232]",91.0,16
2021,15,PONDUS (GB),6,52.5,Robert Hickmott,Ms Rachel King,1,Soft,3200,2,12,"[121.04671192639597, 122.67903508301691, 120.67067802765506, 122.33124983406282, 119.17388989162387]",21.0,17
2021,13,CARIF,6,52.5,Peter & Paul Snowden,Blaike McDougall,8,Soft,3200,6,16,"[118.42780494177964, 122.50107895365085, 120.97761033582267, 120.90698847706429, 118.2919700277656]",101.0,18
2021,11,KNIGHTS ORDER (IRE),6,53.0,Gai Waterhouse & Adrian Bott,Daniel Stackhouse,9,Soft,3200,3,17,"[122.52032103279123, 121.67446171069696, 119.14550409460546, 120.82331915239713, 119.1042758306756]",101.0,19
2021,12,PERSAN,5,53.0,Ciaron Maher & David Eustace,Luke Currie,11,Good,3200,3,14,"[121.10888133601517, 120.69152209002245, 118.52580671393541, 118.00929175558284, 120.97003229608534]",31.0,20
2021,18,PORT GUILLAUME (FR),5,52.0,Ben & JD Hayes,Harry Coffey,22,Good,3200,14,3,"[120.69308174038775, 119.49863310678609, 119.30813485733759, 118.72873896407317, 122.2672816989231]",101.0,21
2021,10,JOHNNY GET ANGRY (NZ),5,53.0,Denis Pagan,Lachlan King (a),21,Heavy,3200,2,4,"[120.66379037970437, 118.88964152995612, 119.27223826007956, 118.06502968587495, 119.43411119939552]",91.0,22
2021,8,OCEAN BILLY (NZ),7,53.5,Chris Waller,Damien Thornton,13,Good,3200,2,11,"[122.14509997696346, 120.5547797923297, 118.81367680497883, 119.33018650314358, 118.57919323171365]",31.0,23
2022,1,GOLD TRIP (FR),6,57.5,Ciaron Maher & David Eustace,Mark Zahra,13,Soft,3200,7,17,"[120.82286047041755, 118.44441753854736, 118.18001990047713, 120.40479028151012, 122.157532949601]",21.0,1
2022,17,EMISSARY (GB),4,51.5,Michael Moroney,Patrick Moloney,3,Good,3200,14,11,"[120.69259635285087, 118.09113457195726, 119.5758077131998, 122.78751166916187, 122.37584636036574]",26.0,2
2022,22,HIGH EMOCEAN (NZ),7,50.0,Ciaron Maher & David Eustace,Teo Nugent,8,Good,3200,5,5,"[122.33150183234322, 118.75046978617414, 120.66990209633926, 122.32256977836434, 119.74133145017058]",41.0,3
2022,8,DEAUVILLE LEGEND (IRE),5,55.0,James Ferguson,Kerrin McEvoy,9,Good,3200,8,17,"[119.05010850844558, 122.94489511340159, 120.46838496263216, 118.89863969577021, 118.70160715253208]",4.4,4
2022,24,REALM OF FLOWERS,6,50.0,Anthony & Sam Freedman,Damien Thornton,5,Good,3200,8,10,"[122.6551567784606, 120.18657521997194, 122.92322813564152, 121.12969941655642, 119.41655383829216]",8.0,5
2022,14,DAQIANSWEET JUNIOR (NZ),5,53.0,Phillip Stokes,Daniel Moor,12,Good,3200,11,5,"[119.97483148515185, 121.8359407452503, 120.79816286026006, 118.36751147602867, 119.87949952046495]",61.0,6
2022,19,SMOKIN’ ROMANS (NZ),7,51.5,Ciaron Maher & David Eustace,Ms Jamie Kah,15,Soft,3200,13,12,"[118.97515313107688, 121.98585785630206, 120.4608244728126, 121.21651879322162, 120.70943437938232]",17.0,7
2022,9,STOCKMAN (NZ),4,54.0,Joseph Pride,Sam Clipperton,2,Soft,3200,14,9,"[120.74659501055545, 120.95336487087084, 120.98693050533561, 120.60711227033687, 121.8098794496812]",16.0,8
2022,3,KNIGHTS ORDER (IRE),8,55.5,Gai Waterhouse & Adrian Bott,Tim Clark,22,Good,3200,14,19,"[118.94494560986756, 119.1784167261011, 118.01422062097956, 120.29901724596817, 118.78303048013214]",18.0,9
2022,10,VOW AND DECLARE,7,54.0,Danny O’Brien,Blake Shinn,4,Heavy,3200,10,18,"[121.5916863164684, 122.09536418388899, 118.413527534572, 119.16413445511539, 120.03592190594881]",21.0,10
2022,16,ARAPAHO (FR),7,52.5,Bjorn Baker,Ms Rachel King,18,Good,3200,4,8,"[119.78456362042185, 122.06526472614435, 118.54553956432116, 119.36149358803307, 122.33968621233744]",61.0,11
2022,12,HOO YA MAL (GB),6,53.5,Gai Waterhouse & Adrian Bott,Craig Williams,14,Soft,3200,9,19,"[122.57657271821766, 120.61020875702395, 120.164248067471, 119.00394449809706, 119.36766159577931]",13.0,12
2022,6,WITHOUT A FIGHT (IRE),4,55.5,Simon & Ed Crisford,William Buick,17,Good,3200,11,5,"[121.78920485927648, 118.4053210939684, 121.61321318066038, 120.10015974152057, 121.34753583697109]",12.0,13
2022,15,GRAND PROMENADE (GB),5,53.0,Ciaron Maher & David Eustace,Harry Coffey,1,Soft,3200,13,4,"[120.24151015656619, 120.59494326880261, 122.49183603788194, 120.47339200318075, 118.41959489136275]",71.0,14
2022,11,YOUNG WERTHER (NZ),7,54.0,Danny O’Brien,Damian Lane,19,Good,3200,8,12,"[120.46001347510395, 122.36362465288295, 122.14344053999739, 120.36518730990068, 118.09631810313346]",31.0,15
2022,4,MONTEFILIA,6,55.5,David Payne,Jason Collett,11,Good,3200,9,4,"[122.64703714517613, 121.75525551265727, 118.89461518351166, 121.71558289012773, 121.83018471971378]",9.5,16
2022,20,TRALEE ROSE (NZ),4,51.5,Symon Wilde,Dean Yendall,20,Good,3200,7,16,"[118.427636236833, 119.44591891314369, 118.76588677036689, 118.26935713568787, 121.05284913004222]",51.0,17
2022,2,DUAIS,7,55.5,Edward Cummings,Hugh Bowman,10,Heavy,3200,12,17,"[120.2239998692337, 118.0152172637484, 121.44909267018393, 122.27307130280931, 121.87678492347719]",21.0,18
2022,5,NUMERIAN (IRE),5,55.5,Annabel Neasham,Tommy Berry,7,Good,3200,7,11,"[118.81230239826448, 122.89073383801752, 120.42691502898315, 118.68624431742089, 120.34774652423359]",61.0,19
2022,13,SERPENTINE (IRE),8,53.5,Robert Hickmott,John Allen,21,Good,3200,14,9,"[119.24621904539902, 121.25183775183841, 118.93234727249768, 118.94157272332151, 121.50442216894132]",31.0,20
2022,7,CAMORRA (IRE),5,55.0,Ben & JD Hayes,Ben Melham,16,Heavy,3200,7,14,"[122.06630096391136, 121.24037832374958, 121.66228544992912, 121.06715334534236, 118.33698886194799]",41.0,21
2011,3,DUNADEN,6,54.5,Mikel Delzangles,Christophe Lemaire,13,Firm,3200,11,4,"[122.78338395364038, 119.63359589773876, 121.96477805444817, 121.1065768688302, 122.40947815725148]",,1
2011,12,RED CADEAUX,4,53.5,Ed Dunlop,Michael Rodd,15,Heavy,3200,14,7,"[118.96273380602514, 119.08752568433917, 120.32579193307656, 122.16558106302533, 122.94014168474911]",,2
2011,9,LUCAS CRANACH,8,53.5,Anthony Freedman,Corey Brown,11,Good,3200,14,18,"[121.027270020112, 119.33107136872488, 121.7272011261351, 120.91894286090773, 121.35324514825166]",,3
2011,1,AMERICAIN,7,58.0,Alain de Royer Dupre,Gerald Mosse,14,Soft,3200,13,12,"[119.88513470142429, 118.19395073434382, 122.16088349375308, 120.78384832111334, 120.91671580213391]",,4
2011,6,MANIGHAR,6,54.0,Luca Cumani,Damien Oliver,20,Heavy,3200,5,3,"[118.1756281539734, 120.9166538840486, 121.43562705783317, 120.52142573274531, 119.63840224099133]",,5
2011,15,LOST IN THE MOMENT,6,53.0,Saeed Bin Suroor,William Buick,3,Good,3200,5,11,"[122.44884880950455, 121.17577683312342, 122.60143219446867, 121.15886642036037, 122.27755938808961]",,6
2011,8,FOX HUNT,8,53.5,Mark Johnston,Silvestre De Sousa,18,Good,3200,9,6,"[120.01189761476607, 118.75725836808348, 118.84265586758687, 118.90767697630544, 121.97170366841134]",,7
2011,23,NIWOT,4,51.0,"Michael, Wayne & John Hawkes",Dean Yendall,9,Good,3200,9,15,"[122.81571627532006, 120.74525612677434, 118.43395367476884, 122.75809721833089, 118.46889212426595]",,8
2011,7,UNUSUAL SUSPECT,7,54.0,Michael Kent,Brad Rawiller,7,Good,3200,10,12,"[122.24565025391637, 121.4551297158532, 121.84605426964205, 121.83684847445616, 118.87571878164061]",,9
2011,17,AT FIRST SIGHT,8,52.5,Robert Hickmott,Steven King,10,Good,3200,13,11,"[122.95648095510036, 120.27585395399471, 122.10568773663039, 118.18626174490169, 122.32643654970387]",,10
2011,11,PRECEDENCE,8,53.5,Bart Cummings,Darren Beadman,2,Soft,3200,8,4,"[118.25066258434292, 118.9615953890141, 118.06403929336705, 120.05730345226947, 122.00319683203973]",,11
2011,4,DRUNKEN SAILOR,4,54.0,Luca Cumani,Dwayne Dunn,8,Soft,3200,3,8,"[120.74103620031181, 118.7966262788878, 119.81460260952585, 119.4961506255888, 122.08929501525924]",,12
2011,21,THE VERMINATOR,6,52.0,Chris Waller,Craig Newitt,4,Heavy,3200,14,7,"[120.37041738761738, 120.4429937230917, 121.87087190145918, 121.91232012947202, 121.93106528744545]",,13
2011,22,TULLAMORE,4,52.0,Gai Waterhouse,Chris Munce,12,Good,3200,2,12,"[122.87585429472449, 120.80188915507829, 119.45171833496359, 119.26530335557938, 120.85594737862455]",,14
2011,18,MOYENNE CORNICHE,6,52.0,Brian Ellison,Brett Prebble,16,Soft,3200,8,14,"[121.13232313162155, 118.61513468948458, 121.92333289002815, 118.96041454522165, 122.41745866897826]",,15
2011,19,SAPTAPADI,5,52.0,Brian Ellison,Chris Symons,21,Good,3200,8,17,"[119.99825286688663, 118.96105528761326, 119.13304852276397, 118.99359980331164, 120.9840663401941]",,16
2011,24,OLDER THAN TIME,7,51.0,Gai Waterhouse,Tim Clark,19,Good,3200,3,16,"[119.11072217673849, 122.52985725662252, 120.24307490058447, 120.13422481869027, 120.0670476706631]",,17
2011,13,HAWK ISLAND,5,53.0,Chris Waller,Glyn Schofield,17,Heavy,3200,12,19,"[119.56787798366169, 118.33654269870637, 118.94300426243595, 122.20908851556453, 120.69264087867846]",,18
2011,14,ILLO,8,53.0,Bart Cummings,Jim Cassidy,1,Good,3200,14,14,"[118.70087327487721, 118.47121650124772, 119.56073871505302, 122.92311022931672, 119.75889765003319]",,19
